id,version,amb_domicile,amb_id,financial_size,financial_size_num,insurance_indicator,name,organization_level,parent_amb_id,parent_id,rating_effective_date,rating_num,rating_range_effective_date,rating_range_max,rating_range_min,sync_version,ultimate_parent_amb_id,ultimate_parent_id,rating,rating_outlook,naic,latest_file_date
14289,1698,ON,87035,XIV,14,,Sirius America Insurance Company (Canada Branch),,,,11/27/17 0:00,120420,11/27/17 0:00,120420,120420,1698,58167,,A,,,6/15/18 0:00
6861,1831,Bermuda,58167,,,N,WHITE MOUNTAINS INSURANCE GROUP LTD,1,58167,6861,,,12/16/09 0:00,750000,120420,1831,58167,6861,,,,7/10/17 0:00
6862,1831,Bermuda,51997,,,N,LONE TREE HOLDINGS LTD,2,58167,6861,,,,,,1831,58167,6861,,,,7/10/17 0:00
39497,1401,Bermuda,46330,,,N,BRIDGE HOLDINGS BERMUDA LTD,3,51997,6862,,,,,,1401,58167,6861,,,,4/10/17 0:00
6863,1823,Bermuda,33577,,,N,HG GLOBAL LTD,3,51997,6862,,,,,,1823,58167,6861,,,,7/10/17 0:00
6908,1823,Bermuda,51993,,,I,WHITE MOUNTAINS LIFE REINSURANCE BERMUDA LTD,3,51997,6862,,,,,,1823,58167,6861,,,,7/10/17 0:00
39498,1401,Barbados,46329,,,N,WTM BARBADOS INTERNATIONAL SRL,4,46330,39497,,,,,,1401,58167,6861,,,,4/10/17 0:00
6864,1823,Bermuda,33578,,,N,HG HOLDINGS LTD,4,33577,6863,,,,,,1823,58167,6861,,,,7/10/17 0:00
39499,1401,Luxembourg,51989,,,N,WHITE MOUNTAINS HOLDINGS LUXEMBOURG S A R L,5,46329,39498,,,,,,1401,58167,6861,,,,4/10/17 0:00
6865,1825,Bermuda,93467,,,I,HG RE LTD,5,33578,6864,,,,,,1825,58167,6861,,,,7/10/17 0:00
6868,1827,Gibraltar,55106,,,N,ONEBEACON HOLDINGS GIBRALTAR LIMITED,5,55109,6867,,,,,,1827,58167,6861,,,,
39500,1401,DE,51998,,,N,GUILFORD HOLDINGS INC,6,51989,39499,,,,,,1401,58167,6861,,,,4/10/17 0:00
39501,1401,DE,46328,,,N,WHITE MOUNTAINS CAPITAL INC,7,51998,39500,,,,,,1401,58167,6861,,,,4/10/17 0:00
6891,1827,Gibraltar,55102,,,N,WM CALETA GIBRALTAR LIMITED,7,51994,6888,,,,,,1827,58167,6861,,,,
6905,2370,IL,10687,,0,I,WOODRIDGE INSURANCE COMPANY,15,59508,6903,12/16/09 0:00,750000,12/16/09 0:00,750000,750000,2370,58167,6861,NR,,24376,6/15/18 0:00
6907,2364,NE,2082,,0,I,CENTRAL NATIONAL INSURANCE COMPANY OF OMAHA,15,59508,,6/15/10 0:00,750000,6/15/10 0:00,750000,750000,2364,58167,,NR,,20249,6/15/18 0:00
